AOA,CN
0.391153381642512,0.07697901974612
1.24433876811594,0.167595204513398
2.59829471115137,0.317592449753173
3.78374094202899,0.477886988716501
4.52309363258186,0.557519393511988
5.54564714170692,0.68053772919605
6.74861614331723,0.844666784203102
7.57716888083736,0.965749882463562
8.93308423913043,1.18874349876587
10.1270212694579,1.42300057462258
11.2577345008052,1.65754495768688
11.9976097020934,1.82095296863456
13.3033640297907,2.09991669605077
14.1416454195742,2.32346712897665
15.1953754025765,2.60002491261421
16.5543576717076,2.94935687128227
17.4369464573269,3.17872002820874
18.4715177133655,3.47394180477198
19.8452459376372,3.78331827397743
20.6312287529075,4.03937764456982
21.7912783116292,4.36316037591218
22.6662338969404,4.57318935119887
23.5503220611916,4.8322692612835
24.9031023550725,5.14901401622003
25.8953502415459,5.35743124118477
26.9502994162641,5.64328411495063
27.7128325830771,5.80127580459033
28.7363456119163,6.05885543018336
29.5696457326892,6.27091560883874
