Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0,0.0,0.0,0.0,1.1108455095150203e-09,-3.141592653589793,-8.659560562354932e-17,1.5707963267948963,1.0,0.0,0.0,0.0,0.0,767.2,0.0,0.0,50.0
0.01,-0.0010097380163956375,-0.002870560725791705,-1.2864200181746699e-17,2.8652363520851773e-11,3.1415876023898557,1.433364150588478e-05,1.5707963267586416,0.999999999971129,-2.52559996864614e-06,-7.166820752947264e-06,9.45316219306066e-05,-3.3674939654653244e-05,767.700825645735,0.018917455741770253,-0.00672650184056267,50.29845687723645
0.02020009977771981,-0.002043844686879414,-0.0058428749171870326,-2.2938078505709392e-17,3.355149895166068e-11,3.141572035493279,5.8725908138851267e-05,1.5707963261882558,0.9999999995157702,-1.030904824358205e-05,-2.936295406681621e-05,0.00038636871784813597,-0.00013711700635818684,768.217508100344,0.03832687401067979,-0.013550817509382767,51.01082351554391
0.030604511629985745,-0.0031062968424927125,-0.008931125856397337,-4.330352131498799e-17,4.707294593490618e-11,3.1415452498338112,0.0001355340875055691,1.5707963235739952,0.9999999974229244,-2.3701877825232902e-05,-6.776704372009493e-05,0.0008886651343054724,-0.00031415741010627155,768.7520254559528,0.05824528168655152,-0.020473546710999293,51.73737377049239
0.041217544511840634,-0.004197397238188474,-0.01213955347134982,-5.901176676024164e-17,1.5381038667731077e-06,3.1415064989472654,0.0002472941697548856,1.5707963161065184,0.9999999914278715,-4.30773202604987e-05,-0.0001236470846779111,0.0016150637349933675,-0.0005686910410801597,769.3050482700048,0.0786554992307593,-0.027482838532540653,52.478403336695415
0.052043606797065295,-0.005317387387543243,-0.015472486691266333,-7.649519827769836e-17,9.423424551736235e-11,3.1414550016131595,0.0003967048369930106,1.5707962993791356,0.9999999779596509,-6.882598418971291e-05,-0.00019835241766955525,0.0025795847470641248,-0.0009046240433691847,769.8772740474341,0.09953608056573043,-0.034565121234419065,53.23421461935202
0.06308687570932459,-0.006477205226198908,-0.01892558149939918,-8.756866852627897e-17,8.218462736519539e-11,3.141389896558684,0.0005865928662114198,1.5707962670509519,0.9999999518498005,-0.00010137850225926531,-0.000293296430421907,0.003796196359254338,-0.001326089712692126,770.4694104043049,0.12078081076150476,-0.041763649534789615,54.005095508692115
0.0743522925452429,-0.007683063489271727,-0.02249847469752233,-8.800753053817612e-17,6.794648483751649e-11,3.1413101572666693,0.0008198753747720375,1.5707962104436808,0.9999999060000284,-0.00014124812537561325,-0.0004099376800323196,0.005278296744760406,-0.0018378786298229085,771.0822293547218,0.14231647209916404,-0.049092962588869214,54.79138615559778
0.08584457988507971,-0.008936566075950749,-0.026194314986392207,-1.165906709943286e-16,5.8066200561743346e-11,3.141214680850355,0.0010996225032361385,1.5707961180573033,0.9999998309958819,-0.00018898628264646538,-0.0005498112338232717,0.007039199860663927,-0.0024448971581311632,771.7165163524905,0.16409736365572342,-0.056539975188817836,55.59341037645972
0.09756857074747131,-0.010239330793377636,-0.03001617419119655,-1.261430783717937e-16,2.6346021808788285e-07,3.1411022951499845,0.0014290780874291057,1.5707959750182972,0.9999997146605868,-0.00024517902917896533,-0.0007145390045590152,0.009092153431012696,-0.0031520812765498374,772.3730887258018,0.18607096510962948,-0.06408935352940623,56.41149940451985
0.109529211564924,-0.011590532589090352,-0.03396901897513331,-1.3231451133400405e-16,7.368772351028731e-11,3.1409717628752767,0.0018116730837728942,1.570795762440848,0.9999995415420075,-0.0003104449692991098,-0.0009058364619572176,0.011450278406458564,-0.003964321493637376,773.0527970507029,0.20819414248242074,-0.07171050989952896,57.24599167174194
0.1217315022079816,-0.012986176211991973,-0.038060265281096864,-1.3624479073627477e-16,8.68517547296267e-11,3.1408218332531033,0.0022510747878230785,1.5707954566797668,0.9999992923124975,-0.0003854094250046936,-0.0011255372403478653,0.014126792963405493,-0.004886135030951167,773.7565229172905,0.23043631236342532,-0.07935408567696861,58.09722850064999
