AOA,Cy_WT
-3.358145508,-0.322708351
-1.167651045,-0.079415513
1.204196948,0.067691785
3.736078036,0.262891853
6.586824089,0.436488751
8.387048879,0.404341177
12.12363557,0.279865772
13.76795182,0.157087758
16.42701374,-0.139138561
18.97836943,-0.269214788
21.03781075,-0.361182567
22.98771291,-0.466729482
25.04431835,-0.581358545
26.99852515,-0.520223044
29.00558885,-0.384431693
31.15453351,-0.242239402
32.81107326,-0.138420088
35.20870526,-0.01717781
37.67029719,-0.009633846
39.4937955,0.005454082
