t(s),AngVelZ_OR_Replicated(rad/s)
0.7594,27.647
0.7619,27.735
0.7644,27.823
0.7669,27.91
0.7694,27.996
0.7719,28.081
0.7744,28.166
0.7769,28.251
0.7794,28.335
0.7819,28.418
0.7844,28.5
0.7869,28.583
0.7894,28.664
0.7919,28.745
0.7944,28.826
0.7969,28.906
0.7994,28.985
0.8019,29.065
0.8044,29.143
0.8069,29.221
0.8094,29.299
0.8119,29.376
0.8144,29.453
0.8169,29.53
0.8194,29.605
0.8219,29.681
0.8244,29.756
0.8269,29.831
0.8294,29.905
0.8319,29.979
0.8344,30.053
0.8369,30.126
0.8394,30.199
0.8419,30.272
0.8444,30.344
0.8469,30.416
0.8494,30.487
0.8519,30.559
0.8544,30.63
0.8569,30.7
0.8594,30.771
0.8619,30.841
0.8644,30.911
0.8669,30.981
0.8694,31.05
0.8719,31.119
0.8744,31.188
0.8769,31.257
0.8794,31.325
0.8819,31.393
0.8844,31.461
0.8869,31.529
0.8894,31.597
0.8919,31.664
0.8944,31.731
0.8969,31.798
0.8994,31.865
0.9019,31.931
0.9044,31.998
0.9069,32.064
0.9094,32.13
0.9119,32.195
0.9144,32.261
0.9169,32.326
0.9194,32.391
0.9219,32.456
0.9244,32.521
0.9269,32.586
0.9294,32.65
0.9319,32.715
0.9344,32.779
0.9369,32.843
0.9394,32.907
0.9419,32.97
0.9444,33.034
0.9469,33.097
0.9494,33.161
0.9519,33.224
0.9544,33.287
0.9569,33.35
0.9594,33.412
0.9619,33.475
0.9644,33.537
0.9669,33.6
0.9694,33.662
0.9719,33.724
0.9744,33.786
0.9769,33.848
0.9794,33.91
0.9819,33.971
0.9844,34.033
0.9869,34.094
0.9894,34.156
0.9919,34.217
0.9944,34.278
0.9969,34.339
0.9994,34.4
1.0019,34.46
1.0044,34.521
1.0069,34.582
1.0094,34.642
1.0119,34.702
1.0144,34.763
1.0169,34.823
1.0194,34.883
1.0219,34.943
1.0244,35.002
1.0269,35.062
1.0294,35.122
1.0319,35.181
1.0344,35.241
1.0369,35.3
1.0394,35.359
1.0419,35.418
1.0444,35.477
1.0469,35.536
1.0494,35.595
1.0519,35.653
1.0544,35.712
1.0569,35.77
1.0594,35.829
1.0619,35.887
1.0644,35.945
1.0669,36.003
1.0694,36.061
1.0719,36.119
1.0744,36.177
1.0769,36.235
1.0794,36.292
1.0819,36.35
1.0844,36.407
1.0869,36.465
1.0894,36.522
1.0919,36.579
1.0944,36.636
1.0969,36.693
1.0994,36.75
1.1019,36.807
1.1044,36.864
1.1069,36.921
1.1094,36.977
1.1119,37.034
1.1144,37.09
1.1169,37.147
1.1194,37.203
1.1219,37.259
1.1244,37.315
1.1269,37.371
1.1294,37.427
1.1319,37.483
1.1344,37.539
1.1369,37.595
1.1394,37.65
1.1419,37.706
1.1444,37.761
1.1469,37.817
1.1494,37.872
1.1519,37.928
1.1544,37.983
1.1569,38.038
1.1594,38.093
1.1619,38.148
1.1644,38.203
1.1669,38.258
1.1694,38.313
1.1719,38.367
1.1744,38.422
1.1769,38.477
1.1794,38.531
1.1819,38.585
1.1844,38.64
1.1869,38.694
1.1894,38.748
1.1919,38.802
1.1944,38.856
1.1969,38.91
1.1994,38.964
1.2019,39.018
1.2044,39.072
1.2069,39.125
1.2094,39.179
1.2119,39.233
1.2144,39.286
1.2169,39.34
1.2194,39.393
1.2219,39.446
1.2244,39.5
1.2269,39.553
1.2294,39.606
1.2319,39.659
1.2344,39.712
1.2369,39.765
1.2394,39.818
1.2419,39.871
1.2444,39.924
1.2469,39.977
1.2494,40.03
1.2519,40.082
1.2544,40.135
1.2569,40.188
1.2594,40.24
1.2619,40.293
1.2644,40.345
1.2669,40.397
1.2694,40.45
1.2719,40.502
1.2744,40.554
1.2769,40.606
1.2794,40.658
1.2819,40.71
1.2844,40.762
1.2869,40.814
1.2894,40.866
1.2919,40.918
1.2944,40.969
1.2969,41.021
1.2994,41.073
1.3019,41.124
1.3044,41.176
1.3069,41.227
1.3094,41.279
1.3119,41.33
1.3144,41.381
1.3169,41.433
1.3194,41.484
1.3219,41.535
1.3244,41.586
1.3269,41.638
1.3294,41.689
1.3319,41.74
1.3344,41.791
1.3369,41.841
1.3394,41.892
1.3419,41.943
1.3444,41.994
1.3469,42.044
1.3494,42.095
1.3519,42.145
1.3544,42.195
1.3569,42.245
1.3594,42.295
1.3619,42.345
1.3644,42.394
1.3669,42.444
1.3694,42.493
1.3719,42.542
1.3744,42.591
1.3769,42.64
1.3794,42.688
1.3819,42.736
1.3844,42.784
1.3869,42.832
1.3894,42.88
1.3919,42.928
1.3944,42.975
1.3969,43.022
1.3994,43.069
1.4019,43.116
1.4044,43.163
1.4069,43.21
1.4094,43.256
1.4119,43.302
1.4144,43.349
1.4169,43.395
1.4194,43.441
1.4219,43.486
1.4244,43.532
1.4269,43.578
1.4294,43.623
1.4319,43.668
1.4344,43.714
1.4369,43.759
1.4394,43.804
1.4419,43.849
1.4444,43.894
1.4469,43.939
1.4494,43.983
1.4519,44.028
1.4544,44.073
1.4569,44.117
1.4594,44.162
1.4619,44.207
1.4644,44.251
1.4669,44.296
1.4694,44.34
1.4719,44.384
1.4744,44.429
1.4769,44.473
1.4794,44.518
1.4819,44.562
1.4844,44.606
1.4869,44.651
1.4894,44.695
1.4919,44.739
1.4944,44.784
1.4969,44.828
1.4994,44.872
1.5019,44.916
1.5044,44.961
1.5069,45.005
1.5094,45.049
1.5119,45.094
1.5144,45.138
1.5169,45.182
1.5194,45.227
1.5219,45.271
1.5244,45.316
1.5269,45.36
1.5294,45.405
1.5319,45.449
1.5344,45.494
1.5369,45.538
1.5394,45.583
1.5419,45.627
1.5444,45.672
1.5469,45.717
1.5494,45.761
1.5519,45.806
1.5544,45.851
1.5569,45.895
1.5594,45.94
1.5619,45.985
1.5644,46.029
1.5669,46.074
1.5694,46.119
1.5719,46.164
1.5744,46.208
1.5769,46.253
1.5794,46.298
1.5819,46.342
1.5844,46.387
1.5869,46.432
1.5894,46.477
1.5919,46.521
1.5944,46.566
1.5969,46.611
1.5994,46.656
1.6019,46.701
1.6044,46.745
1.6069,46.79
1.6094,46.835
1.6119,46.88
1.6144,46.925
1.6169,46.97
1.6194,47.015
1.6219,47.06
1.6244,47.105
1.6269,47.15
1.6294,47.196
1.6319,47.241
1.6344,47.286
1.6369,47.331
1.6394,47.376
1.6419,47.422
1.6444,47.467
1.6469,47.512
1.6494,47.558
1.6519,47.603
1.6544,47.649
1.6569,47.694
1.6594,47.739
1.6619,47.785
1.6644,47.83
1.6669,47.876
1.6694,47.921
1.6719,47.967
1.6744,48.012
1.6769,48.058
1.6794,48.103
1.6819,48.149
1.6844,48.195
1.6869,48.24
1.6894,48.286
1.6919,48.331
1.6944,48.377
1.6969,48.423
1.6994,48.469
1.7019,48.514
1.7044,48.56
1.7069,48.606
1.7094,48.652
1.7119,48.698
1.7144,48.744
1.7169,48.79
1.7194,48.836
1.7219,48.882
1.7244,48.928
1.7269,48.975
1.7294,49.021
1.7319,49.067
1.7344,49.114
1.7369,49.16
1.7394,49.207
1.7419,49.253
1.7444,49.3
1.7469,49.346
1.7494,49.393
1.7519,49.44
1.7544,49.487
1.7569,49.533
1.7594,49.58
1.7619,49.627
1.7644,49.674
1.7669,49.721
1.7694,49.768
1.7719,49.816
1.7744,49.863
1.7769,49.91
1.7794,49.958
1.7819,50.005
1.7844,50.052
1.7869,50.1
1.7894,50.147
1.7919,50.195
1.7944,50.243
1.7969,50.29
1.7994,50.338
1.8019,50.386
1.8044,50.433
1.8069,50.481
1.8094,50.529
1.8119,50.577
1.8144,50.624
1.8169,50.672
1.8194,50.72
1.8219,50.768
1.8244,50.815
1.8269,50.863
1.8294,50.911
1.8319,50.959
1.8344,51.007
1.8369,51.054
1.8394,51.102
1.8419,51.15
1.8444,51.198
1.8469,51.246
1.8494,51.294
1.8519,51.342
1.8544,51.389
1.8569,51.437
1.8594,51.485
1.8619,51.534
1.8644,51.582
1.8669,51.63
1.8694,51.678
1.8719,51.726
1.8744,51.774
1.8769,51.823
1.8794,51.871
1.8819,51.92
1.8844,51.968
1.8869,52.016
1.8894,52.065
1.8919,52.114
1.8944,52.162
1.8969,52.211
1.8994,52.26
1.9019,52.308
1.9044,52.357
1.9069,52.406
1.9094,52.454
1.9119,52.503
1.9144,52.552
1.9169,52.601
1.9194,52.649
1.9219,52.698
1.9244,52.747
1.9269,52.796
1.9294,52.844
1.9319,52.893
1.9344,52.942
1.9369,52.991
1.9394,53.039
1.9419,53.088
1.9444,53.137
1.9469,53.186
1.9494,53.235
1.9519,53.284
1.9544,53.333
1.9569,53.381
1.9594,53.43
1.9619,53.479
1.9644,53.528
1.9669,53.577
1.9694,53.627
1.9719,53.676
1.9744,53.725
1.9769,53.774
1.9794,53.823
1.9819,53.872
1.9844,53.922
1.9869,53.971
1.9894,54.02
1.9919,54.07
1.9944,54.119
1.9969,54.168
1.9994,54.218
2.0019,54.267
2.0044,54.317
2.0069,54.366
2.0094,54.416
2.0119,54.466
2.0144,54.515
2.0169,54.565
2.0194,54.615
2.0219,54.665
2.0244,54.714
2.0269,54.764
2.0294,54.814
2.0319,54.864
2.0344,54.914
2.0369,54.964
2.0394,55.014
2.0419,55.064
2.0444,55.114
2.0469,55.164
2.0494,55.215
2.0519,55.265
2.0544,55.315
2.0569,55.365
2.0594,55.416
2.0619,55.466
2.0644,55.516
2.0669,55.567
2.0694,55.617
2.0719,55.668
2.0744,55.718
2.0769,55.769
2.0794,55.819
2.0819,55.87
2.0844,55.92
2.0869,55.971
2.0894,56.022
2.0919,56.072
2.0944,56.123
2.0969,56.174
2.0994,56.225
2.1019,56.275
2.1044,56.326
2.1069,56.377
2.1094,56.428
2.1119,56.478
2.1144,56.529
2.1169,56.58
2.1194,56.63
2.1219,56.681
2.1244,56.732
2.1269,56.783
2.1294,56.833
2.1319,56.884
2.1344,56.935
2.1369,56.986
2.1394,57.036
2.1419,57.087
2.1444,57.138
2.1469,57.189
2.1494,57.239
2.1519,57.29
2.1544,57.341
2.1569,57.392
2.1594,57.442
2.1619,57.493
2.1644,57.543
2.1669,57.593
2.1694,57.642
2.1719,57.691
2.1744,57.739
2.1769,57.787
2.1794,57.834
2.1819,57.88
2.1844,57.926
2.1869,57.97
2.1894,58.014
2.1919,58.057
2.1944,58.098
2.1969,58.138
2.1994,58.176
2.2019,58.213
2.2044,58.248
2.207,58.281
2.2098,58.315
2.2127,58.348
2.216,58.381
2.2198,58.413
2.2242,58.444
2.2298,58.473
2.2384,58.493
2.2512,58.479
2.2627,58.425
2.2683,58.386
2.2729,58.349
2.277,58.312
2.2806,58.276
2.2841,58.24
2.2872,58.204
2.2903,58.168
2.2932,58.132
2.2959,58.097
2.2986,58.061
2.3012,58.026
2.3037,57.99
2.3062,57.954
2.3087,57.916
2.3112,57.878
2.3137,57.839
2.3162,57.798
2.3187,57.757
2.3212,57.716
2.3237,57.673
2.3262,57.63
2.3287,57.586
2.3312,57.542
2.3337,57.497
2.3362,57.451
2.3387,57.405
2.3412,57.359
2.3437,57.312
2.3462,57.264
2.3487,57.216
2.3512,57.168
2.3537,57.12
2.3562,57.071
2.3587,57.022
2.3612,56.973
2.3637,56.923
2.3662,56.873
2.3687,56.823
2.3712,56.773
2.3737,56.723
2.3762,56.672
2.3787,56.621
2.3812,56.57
2.3837,56.519
2.3862,56.468
2.3887,56.417
2.3912,56.365
2.3937,56.314
2.3962,56.262
2.3987,56.21
2.4012,56.159
2.4037,56.107
2.4062,56.055
2.4087,56.003
2.4112,55.951
2.4137,55.899
2.4162,55.847
2.4187,55.794
2.4212,55.742
2.4237,55.69
2.4262,55.638
2.4287,55.586
2.4312,55.533
2.4337,55.481
2.4362,55.429
2.4387,55.377
2.4412,55.324
2.4437,55.272
2.4462,55.22
2.4487,55.167
2.4512,55.115
2.4537,55.063
2.4562,55.011
2.4587,54.958
2.4612,54.906
2.4637,54.854
2.4662,54.802
2.4687,54.749
2.4712,54.697
2.4737,54.645
2.4762,54.593
2.4787,54.541
2.4812,54.488
2.4837,54.436
2.4862,54.384
2.4887,54.332
2.4912,54.28
2.4937,54.228
2.4962,54.176
2.4987,54.124
2.5012,54.072
2.5037,54.02
2.5062,53.969
2.5087,53.917
2.5112,53.865
2.5137,53.813
2.5162,53.762
2.5187,53.71
2.5212,53.658
2.5237,53.607
2.5262,53.555
2.5287,53.504
2.5312,53.452
2.5337,53.401
2.5362,53.35
2.5387,53.298
2.5412,53.247
2.5437,53.196
2.5462,53.145
2.5487,53.093
2.5512,53.042
2.5537,52.991
2.5562,52.94
2.5587,52.889
2.5612,52.838
2.5637,52.787
2.5662,52.736
2.5687,52.685
2.5712,52.634
2.5737,52.584
2.5762,52.533
2.5787,52.482
2.5812,52.431
2.5837,52.381
2.5862,52.33
2.5887,52.279
2.5912,52.229
2.5937,52.178
2.5962,52.128
2.5987,52.077
2.6012,52.027
2.6037,51.976
2.6062,51.926
2.6087,51.876
2.6112,51.826
2.6137,51.775
2.6162,51.725
2.6187,51.675
2.6212,51.625
2.6237,51.575
2.6262,51.525
2.6287,51.475
