Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0,0.0,7.292115e-05,0.0,9.313794180343393e-10,-3.141592653589793,-4.3297802811774677e-17,1.5707963267948968,0.5,0.5,0.5,6379167.0,0.0,0.0,0.10000000000000002,0.1,465.17619368205,0.0
0.10000000000000002,0.0,7.292115e-05,0.0,9.313794181427595e-10,-3.141592653589793,-1.1215189346989964e-14,1.5707963267948968,0.4999981769679266,0.4999981769679266,0.5000018230254266,6379167.009073556,46.517619364827084,0.0,0.10100499812792736,0.1,465.1761936820492,0.0
0.20100499812792738,0.0,7.292115e-05,0.0,9.313794180343393e-10,-3.141592653589793,-4.5380271936211154e-14,1.570796326794897,0.49999633560766754,0.49999633560766754,0.5000036643654772,6379167.018238284,93.50273992656885,0.0,0.10203029845886907,0.10000000000000002,465.17619368204834,0.0
0.30303529658679645,0.0,7.292115e-05,0.0,0.0,-3.141592653589793,-1.0395128026601423e-13,1.570796326794897,0.4999944755489015,0.4999944755489015,0.5000055243900602,6379167.027496012,140.96480578653646,0.0,0.10307641676161938,0.10000000000000003,465.17619368204754,0.0
0.40611171334841584,0.0,7.292115e-05,0.0,9.313794180343393e-10,-3.141592653589793,-1.8882153972141689e-13,1.5707963267948961,0.4999925964118964,0.4999925964118964,0.5000074034784789,6379167.0368486475,188.91350096939837,0.0,0.10414388759013432,0.10000000000000005,465.17619368204674,0.0
0.5102556009385502,0.0,7.292115e-05,0.0,9.313794197690628e-10,-3.141592653589793,-3.012664605368133e-13,1.5707963267948968,0.4999906978071677,0.4999906978071677,0.500009302019774,6379167.046298107,237.35875816158838,0.0,0.10523325726446564,0.10000000000000007,465.17619368204606,0.0
0.6154888582030158,0.0,7.292115e-05,0.0,9.313794180343393e-10,-3.141592653589793,-4.436712746793023e-13,1.570796326794897,0.4999887793352623,0.4999887793352623,0.5000112204129368,6379167.055846392,286.3107641846151,0.0,0.10634509602082454,0.1000000000000001,465.1761936820455,0.0
0.7218339542238403,0.0,7.292115e-05,0.0,5.684341886080802e-14,-3.141592653589793,-6.171765128738001e-13,1.5707963267948968,0.49998684058632314,0.49998684058632314,0.5000131590673458,6379167.065495539,335.779971120288,0.0,0.10747999113388962,0.10000000000000012,465.1761936820451,0.0
0.82931394535773,0.0,7.292115e-05,0.0,9.313794197690628e-10,-3.141592653589793,-8.242693651101877e-13,1.5707963267948968,0.49998488113977757,0.49998488113977757,0.5000151184030764,6379167.075247646,385.7771042366073,0.0,0.10863855157652036,0.10000000000000013,465.17619368204487,0.0
0.9379524969342503,0.0,7.292115e-05,0.0,3.0742958835685793e-06,-3.141592653589793,-1.0665077629137375e-12,1.5707963267948961,0.49998290056394207,0.49998290056394207,0.5000170988512965,6379167.085104847,436.31317208123914,0.0,0.10982140080488789,0.10000000000000013,465.17619368204487,0.0
1.0477738977391382,0.0,7.292115e-05,0.0,5.684342055487388e-14,3.141592653589793,-1.345934235194066e-12,1.5707963267948968,0.4999808984157572,0.4999808984157572,0.5000191008545297,6379167.094601627,487.39947318384236,0.0,0.11102240204259894,0.1000000000000001,465.17619368204515,0.0
1.1587962997817371,0.0,7.292115e-05,0.0,9.313225815543724e-10,-3.1415926535897927,-1.6641340396400548e-12,1.5707963267948963,0.4999788743640336,0.4999788743640336,0.5000211247434192,6379167.10364626,539.0444514139158,0.0,0.11224364846494117,0.10000000000000005,465.1761936820457,0.0
1.2710399482466783,0.0,7.292115e-05,0.0,1.7053025658242404e-13,-3.141592653589793,-2.02333533428712e-12,1.5707963267948968,0.49997682803941285,0.49997682803941285,0.5000231708867575,6379167.112790291,591.2575243875206,0.0,0.11347832650735468,0.09999999999999762,465.17619368207295,0.0
1.384518274754033,0.0,7.292115e-05,0.0,9.313794180343393e-10,-3.141592653589793,-2.4253884377362408e-12,1.5707963267948968,0.4999747591967469,0.4999747591967469,0.5000252395291213,6379167.122034823,644.0449401739769,0.0,0.11472658809854863,0.09999999999999427,465.17619368210745,0.0
1.4992448628525816,0.0,7.292115e-05,0.0,9.313794180360334e-10,-3.141592653589793,-2.873101361260685e-12,1.5707963267948968,0.4999726675881109,0.4999726675881109,0.5000273309178493,6379167.131380945,697.4130175162051,0.0,0.11598857843055299,0.0999999999999901,465.1761936821472,0.0
1.6152334412831346,0.0,7.292115e-05,0.0,9.313794180360334e-10,-3.141592653589793,-3.3695340745744184e-12,1.5707963267948963,0.49997055296292575,0.49997055296292575,0.5000294453029205,6379167.140829782,751.3681426969882,0.0,0.11726445063270141,0.09999999999998492,465.17619368219266,0.0
1.732497891915836,0.0,7.292115e-05,0.0,9.313794249749273e-10,-3.141592653589793,-3.916821597720877e-12,1.5707963267948968,0.4999684150678131,0.4999684150678131,0.500031582937097,6379167.150382444,805.9167732312122,0.0,0.1185543574053074,0.09999999999997859,465.17619368224445,0.0
1.8510522493211434,0.0,7.292115e-05,0.0,5.684341886080802e-14,-3.141592653589793,-4.517587803017068e-12,1.5707963267948963,0.49996625364660324,0.49996625364660324,0.5000337440759177,6379167.160040086,861.0654376663008,0.0,0.11985845312838395,0.09999999999997092,465.1761936823031,0.0
