AOA,CP
0,12.05907781
1.479007634,11.842939481
4.055343511,11.462536023
6.583969466,11.159942363
9.494274809,10.84870317
11.64122137,10.563400576
14.1221374,10.252161383
16.9370229,10.001440922
19.60877863,9.837175793
