AOA,CN
0.752905029474491,0.12507761583126
2.10401314604142,0.299856526930825
2.93440876074356,0.424014693684086
3.83081173240137,0.551277250616035
5.1264567438803,0.723216284183224
5.8196597327137,0.81844083685534
7.0323298498444,1.03364227989098
8.06741807713437,1.17923523567321
8.87457340585431,1.32975770389358
10.1471018128429,1.55650669510606
11.0326409720489,1.75387036378718
12.0337720570308,1.92741086226646
12.8998732509915,2.1141952048031
13.7313379492246,2.34029545364775
14.9701618286456,2.64991477298623
16.9335188953012,3.13781727692855
18.2281065894388,3.45506661926768
19.1060944302082,3.70240768592706
20.2624456857295,3.99508396293618
21.6761577332754,4.36748107595687
22.5740770008469,4.609196569043
23.5680303922657,4.89999191786607
24.9379401971652,5.22107396610973
25.5251661364587,5.35027760721326
27.0128090796875,5.71846743295019
28.4559366210172,6.02095732000586
29.2238469177043,6.17071690958644
