AOA,CA
0.379732918892967,0.206039500494412
1.72883021077837,0.205672811853894
2.49996317066948,0.203636231478291
3.76215193856418,0.202605961405927
4.59431842561292,0.202605961405927
5.42669368498657,0.202605961405927
6.73241226048314,0.199730789110958
7.5180651260433,0.199155754651964
8.80270446366053,0.198317162732598
9.60378223270302,0.196314407913407
10.4578357426832,0.193865437629221
11.7910513923226,0.190383660355941
12.5971705462952,0.18866983216443
13.8475067411526,0.185078059192894
14.682986715495,0.18237827867191
15.5636940527408,0.178697914957391
16.7744326153237,0.17633477925974
17.4581223595851,0.173087525844245
18.9090479126223,0.168274274446742
19.4695374049692,0.165420399724328
20.4885647242076,0.16290462396623
21.7672145837243,0.158632975443433
22.590389553662,0.155304303320225
23.8701496322318,0.148530171889569
24.6499738327484,0.146455537763003
25.4561473739979,0.142847478412454
26.705406665559,0.13753627262505
27.5420179304746,0.134661693760895
28.7891310676773,0.130620166168926
29.4640878049062,0.127969437523194
